Data, Deposit rate
7.2025,16.00
6.2025,18.00
5.2025,19.00
4.2025,19.00
3.2025,19.00
2.2025,19.00
1.2025,19.00
12.2024,19.00
11.2024,19.00
10.2024,19.00
9.2024,17.00
8.2024,16.00
7.2024,16.00
6.2024,14.00
5.2024,14.00
4.2024,14.00
3.2024,14.00
2.2024,14.00
1.2024,14.00
12.2023,14.00
11.2023,13.00
10.2023,13.00
9.2023,11.00
8.2023,10.00
7.2023,6.50
6.2023,5.50
5.2023,5.50
4.2023,5.50
3.2023,5.50
2.2023,5.50
1.2023,5.50
12.2022,5.50
11.2022,5.50
10.2022,5.50
9.2022,5.50
8.2022,6.00
7.2022,6.00
6.2022,7.50
5.2022,9.00
4.2022,15.00
3.2022,18.00
2.2022,18.00
1.2022,6.50
12.2021,6.50
11.2021,5.50
10.2021,5.50
9.2021,4.75
8.2021,4.50
7.2021,4.50
6.2021,3.50
5.2021,3.00
4.2021,3.00
3.2021,2.50
2.2021,2.25
1.2021,2.25
12.202,2.25
11.202,2.25
10.202,2.25
9.202,2.25
8.202,2.25
7.202,2.25
6.202,2.50
5.202,3.50
4.202,3.50
3.202,4.00
2.202,4.00
1.202,4.25
12.2019,4.25
11.2019,4.50
10.2019,4.50
9.2019,5.00
8.2019,5.25
7.2019,5.25
6.2019,5.50
5.2019,5.75
4.2019,5.75
3.2019,5.75
2.2019,5.75
1.2019,5.75
12.2018,5.75
11.2018,5.50
10.2018,5.50
9.2018,5.50
8.2018,5.25
7.2018,5.25
6.2018,5.25
5.2018,5.25
4.2018,5.25
3.2018,5.25
2.2018,5.50
1.2018,5.75
12.2017,5.75
11.2017,6.25
10.2017,6.25
9.2017,6.50
8.2017,7.00
7.2017,7.00
6.2017,7.00
5.2017,7.25
4.2017,7.75
3.2017,7.75
2.2017,8.00
1.2017,8.00
12.2016,8.00
11.2016,8.00
10.2016,8.00
9.2016,8.00
8.2016,8.50
7.2016,8.50
6.2016,8.50
5.2016,9.00
4.2016,9.00
3.2016,9.00
2.2016,9.00
1.2016,9.00
12.2015,9.00
11.2015,9.00
10.2015,9.00
9.2015,9.00
8.2015,9.00
7.2015,9.50
6.2015,9.50
5.2015,10.50
4.2015,12.00
3.2015,12.00
2.2015,13.00
1.2015,15.00
12.2014,15.00
11.2014,7.50
10.2014,6.00
9.2014,6.00
8.2014,6.00
7.2014,6.00
6.2014,5.50
5.2014,5.50
4.2014,5.50
3.2014,5.00
2.2014,3.50
1.2014,3.50
12.2013,3.50
11.2013,3.50
10.2013,3.50
9.2013,3.50
