date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi,rsi_signal
2022-08-29,RTGZ,Rosneft Oil Company,buy,23000.0,9,200000.0,8.7,200000.0,800000.0,1000000.0,28.25,buy
2022-08-31,RTGZ,Rosneft Oil Company,sell,23600.0,0,2052.17,8.61,203165.22,802052.17,1005217.39,71.59,sell
2022-09-01,RTGZ,Rosneft Oil Company,sell,23600.0,0,2031.65,8.52,201133.57,804083.83,1005217.39,71.59,sell
2022-09-05,RTGZ,Rosneft Oil Company,sell,24300.0,0,2070.99,8.44,205028.4,806154.82,1011183.22,86.28,sell
2022-09-06,OZON,Information technology,buy,1443.5,139,200000.0,138.55,200000.0,800000.0,1000000.0,26.29,buy
2022-09-06,RTGZ,Rosneft Oil Company,sell,24500.0,0,2067.16,8.35,204648.72,808221.98,1012870.69,88.88,sell
2022-09-08,OZON,Information technology,buy,1428.0,112,160000.0,250.6,357852.44,640000.0,997852.44,25.79,buy
2022-09-09,OZON,Information technology,buy,1410.5,91,128000.0,341.34,481467.0,512000.0,993467.0,20.82,buy
2022-09-14,RTGZ,Rosneft Oil Company,sell,24600.0,0,2054.84,8.27,203429.18,810276.82,1013705.99,71.41,sell
2022-09-15,RTGZ,Rosneft Oil Company,sell,25100.0,0,2075.64,8.19,205488.28,812352.46,1017840.73,83.33,sell
2022-09-16,RTGZ,Rosneft Oil Company,sell,26200.0,0,2144.94,8.1,212348.8,814497.4,1026846.2,92.7,sell
2022-09-19,OZON,Information technology,sell,1488.0,3,5079.21,337.93,502842.01,517079.21,1019921.23,80.33,sell
2022-09-19,RTGZ,Rosneft Oil Company,sell,26800.0,0,2172.12,8.02,215039.63,816669.51,1031709.15,94.89,sell
2022-09-20,OZON,Information technology,buy,1325.5,78,103415.84,415.95,551343.99,413663.37,965007.36,17.32,buy
2022-09-20,SBER,Finance,buy,125.1,1599,200000.0,1598.72,200000.0,800000.0,1000000.0,9.63,buy
2022-09-21,OZON,Information technology,buy,1236.0,67,82732.67,482.89,596848.99,330930.7,927779.69,10.79,buy
2022-09-21,SBER,Finance,buy,120.23,1331,160000.0,2929.5,352214.23,640000.0,992214.23,6.77,buy
2022-09-22,OZON,Information technology,buy,1254.0,53,66186.14,535.67,671727.1,264744.56,936471.66,19.35,buy
2022-09-23,OZON,Information technology,buy,1171.0,45,52948.91,580.88,680215.61,211795.65,892011.25,11.95,buy
2022-09-23,SBER,Finance,buy,119.39,1072,128000.0,4001.62,477753.45,512000.0,989753.45,21.5,buy
2022-09-26,OZON,Information technology,buy,987.5,43,42359.13,623.78,615982.45,169436.52,785418.97,5.47,buy
2022-09-26,RTGZ,Rosneft Oil Company,buy,21900.0,7,163333.9,15.48,339056.59,653335.61,992392.2,17.28,buy
2022-09-26,SBER,Finance,buy,107.06,956,102400.0,4958.09,530813.47,409600.0,940413.47,10.4,buy
2022-09-28,RTGZ,Rosneft Oil Company,buy,22200.0,6,130667.12,21.37,474368.32,522668.49,997036.81,29.55,buy
2022-09-28,SBER,Finance,buy,111.06,738,81920.0,5695.71,632565.84,327680.0,960245.84,29.91,buy
2022-09-29,OZON,Information technology,buy,1030.5,33,33887.3,656.66,676692.28,135549.21,812241.5,25.43,buy
2022-09-29,RTGZ,Rosneft Oil Company,buy,21200.0,5,104533.7,26.3,557534.08,418134.79,975668.87,21.09,buy
2022-09-29,SBER,Finance,buy,110.41,594,65536.0,6289.28,694399.63,262144.0,956543.63,28.49,buy
2022-09-30,RTGZ,Rosneft Oil Company,buy,21000.0,4,83626.96,30.28,635901.28,334507.83,970409.11,19.52,buy
2022-09-30,SBER,Finance,buy,110.21,476,52428.8,6765.0,745570.57,209715.2,955285.77,27.92,buy
2022-10-05,RTGZ,Rosneft Oil Company,buy,20500.0,3,66901.57,33.54,687662.34,267606.27,955268.6,22.9,buy
2022-10-05,SBER,Finance,buy,108.51,387,41943.04,7151.54,776013.11,167772.16,943785.27,29.78,buy
2022-10-06,SBER,Finance,buy,108.24,310,33554.43,7461.54,807636.63,134217.73,941854.36,28.74,buy
2022-10-07,RTGZ,Rosneft Oil Company,buy,20600.0,3,53521.25,36.14,744538.04,214085.01,958623.06,28.23,buy
2022-10-07,SBER,Finance,buy,101.5,264,26843.55,7726.0,784189.42,107374.18,891563.61,12.98,buy
2022-10-10,RTGZ,Rosneft Oil Company,buy,20500.0,2,42817.0,38.23,783740.78,171268.01,955008.79,26.0,buy
2022-10-13,RTGZ,Rosneft Oil Company,sell,21900.0,0,8372.65,37.85,828891.9,179640.66,1008532.55,73.66,sell
2022-10-14,RTGZ,Rosneft Oil Company,sell,22700.0,0,8591.71,37.47,850579.34,188232.37,1038811.71,83.7,sell
2022-10-17,OZON,Information technology,sell,1279.5,7,8402.02,650.1,831799.61,143951.23,975750.84,83.06,sell
2022-10-17,SBER,Finance,sell,112.44,77,8687.12,7648.74,860024.79,116061.3,976086.09,77.85,sell
2022-10-18,RTGZ,Rosneft Oil Company,sell,22800.0,0,8543.26,37.1,845783.12,196775.63,1042558.76,84.72,sell
2022-10-19,SBER,Finance,sell,112.39,76,8596.42,7572.26,851045.93,124657.73,975703.66,70.67,sell
2022-10-20,SBER,Finance,sell,116.98,76,8858.03,7496.53,876944.56,133515.75,1010460.31,84.28,sell
2022-10-21,SBER,Finance,sell,119.45,75,8954.61,7421.57,886506.39,142470.36,1028976.75,88.35,sell
2022-10-24,SBER,Finance,sell,118.8,74,8816.82,7347.35,872865.55,151287.18,1024152.73,80.65,sell
2022-10-25,OZON,Information technology,sell,1339.0,7,8704.8,643.6,861775.6,152656.03,1014431.64,86.57,sell
2022-10-25,RTGZ,Rosneft Oil Company,sell,23200.0,0,8606.21,36.72,852015.21,205381.84,1057397.06,74.14,sell
2022-10-25,SBER,Finance,sell,124.36,73,9137.17,7273.88,904579.66,160424.35,1065004.02,90.53,sell
2022-10-26,OZON,Information technology,sell,1328.0,6,8546.96,637.16,846149.08,161202.99,1007352.08,77.58,sell
2022-10-26,SBER,Finance,sell,124.43,73,9050.89,7201.14,896037.95,169475.24,1065513.19,90.62,sell
