date,avg_symbol_capital,total_capital
2022-08-29,0.0,2999979.3
2022-08-30,0.0,2999979.3
2022-08-31,1800.0,3005379.3
2022-09-01,1800.0,3005379.3
2022-09-02,1800.0,3005379.3
2022-09-03,1800.0,3005379.3
2022-09-04,1800.0,3005379.3
2022-09-05,3900.0,3011679.3
2022-09-06,4493.31,3013459.24
2022-09-07,4493.31,3013459.24
2022-09-08,3769.81,3011288.74
2022-09-09,2301.37,3006883.41
2022-09-10,2301.37,3006883.41
2022-09-11,2301.37,3006883.41
2022-09-12,2301.37,3006883.41
2022-09-13,2301.37,3006883.41
2022-09-14,2601.37,3007783.41
2022-09-15,4101.37,3012283.41
2022-09-16,7401.37,3022183.41
2022-09-17,7401.37,3022183.41
2022-09-18,7401.37,3022183.41
2022-09-19,18036.22,3054087.96
2022-09-20,-336.39,2998970.12
2022-09-21,-15380.7,2953837.2
2022-09-22,-12478.91,2962542.56
2022-09-23,-28162.34,2915492.29
2022-09-24,-28162.34,2915492.29
2022-09-25,-28162.34,2915492.29
2022-09-26,-94919.49,2715220.82
2022-09-27,-94919.49,2715220.82
2022-09-28,-86716.0,2739831.3
2022-09-29,-86331.99,2740983.34
2022-09-30,-88555.87,2734311.7
2022-10-01,-88555.87,2734311.7
2022-10-02,-88555.87,2734311.7
2022-10-03,-88555.87,2734311.7
2022-10-04,-88555.87,2734311.7
2022-10-05,-97560.05,2707299.15
2022-10-06,-98204.94,2705364.48
2022-10-07,-113841.43,2658455.0
2022-10-08,-113841.43,2658455.0
2022-10-09,-113841.43,2658455.0
2022-10-10,-115076.13,2654750.9
2022-10-11,-115076.13,2654750.9
2022-10-12,-115076.13,2654750.9
2022-10-13,-96876.13,2709350.9
2022-10-14,-86476.13,2740550.9
2022-10-15,-86476.13,2740550.9
2022-10-16,-86476.13,2740550.9
2022-10-17,-3684.93,2988924.52
2022-10-18,-2384.93,2992824.52
2022-10-19,-2512.71,2992441.17
2022-10-20,9075.21,3027204.94
2022-10-21,15248.27,3045724.1
2022-10-22,15248.27,3045724.1
2022-10-23,15248.27,3045724.1
2022-10-24,13639.66,3040898.27
2022-10-25,45370.69,3136091.37
2022-10-26,43178.56,3129514.98
2022-10-27,48412.44,3145216.61
2022-10-28,48310.59,3144911.08
2022-10-29,48310.59,3144911.08
2022-10-30,48310.59,3144911.08
2022-10-31,50776.36,3152308.37
