date,symbol,sector,action,price,shares,notional,position_shares_after,position_value_after,cash_after,total_equity_after,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal
2022-08-12,KRSB,Electric Power,init,7.66,65274.15143603133,500000.0,65274.15,500000.0,500000.0,1000000.0,71.55,sell,48.46,hold,56.52,hold
2022-08-12,MRKV,Electric Power,init,0.03,16666666.666666668,500000.0,16666666.67,500000.0,500000.0,1000000.0,52.65,hold,67.24,hold,65.35,hold
2024-11-28,T,Finance,init,2367.0,211.23785382340515,500000.0,211.24,500000.0,500000.0,1000000.0,48.44,hold,19.29,buy,67.4,hold
2022-08-22,KRSB,Electric Power,sell,8.08,653.0,5274.15,64621.41,522140.99,505274.15,1027415.14,71.55,sell,,hold,,hold
2022-08-23,KRSB,Electric Power,sell,8.36,646.0,5402.35,63975.2,534832.64,510676.5,1045509.14,84.82,sell,,hold,,hold
2022-08-23,MRKV,Electric Power,sell,0.03,166667.0,5000.0,16500000.0,495000.0,505000.0,1000000.0,75.57,sell,,hold,,hold
2022-08-26,MRKV,Electric Power,buy,0.03,3366667.0,101000.0,19866666.67,596000.0,404000.0,1000000.0,21.08,buy,,hold,,hold
2022-08-30,MRKV,Electric Power,sell,0.03,198667.0,5960.0,19668000.0,590040.0,409960.0,1000000.0,74.34,sell,67.24,hold,,hold
2022-08-31,MRKV,Electric Power,sell,0.03,196680.0,5900.4,19471320.0,584139.6,415860.4,1000000.0,77.98,sell,70.21,sell,,hold
2022-09-01,MRKV,Electric Power,sell,0.03,194713.0,5841.4,19276606.8,578298.2,421701.8,1000000.0,77.98,sell,70.21,sell,,hold
2022-09-02,MRKV,Electric Power,sell,0.03,192766.0,5782.98,19083840.73,572515.22,427484.78,1000000.0,87.99,sell,78.41,sell,,hold
2022-09-05,MRKV,Electric Power,sell,0.03,190838.0,5725.15,18893002.32,566790.07,433209.93,1000000.0,82.18,sell,75.67,sell,,hold
2022-09-09,KRSB,Electric Power,sell,8.13,640.0,5201.18,63335.44,514917.16,515877.68,1030794.84,72.29,sell,62.43,hold,,hold
2022-09-12,MRKV,Electric Power,sell,0.03,188930.0,5667.9,18704072.3,561122.17,438877.83,1000000.0,77.91,sell,69.95,hold,,hold
2022-09-14,MRKV,Electric Power,sell,0.03,187041.0,5611.22,18517031.58,555510.95,444489.05,1000000.0,72.48,sell,67.98,hold,,hold
2022-09-15,MRKV,Electric Power,sell,0.03,185170.0,5555.11,18331861.26,549955.84,450044.16,1000000.0,72.48,sell,67.98,hold,65.35,hold
2022-09-20,KRSB,Electric Power,buy,7.57,13630.0,103175.54,76964.97,582624.85,412702.15,995326.99,15.55,buy,25.4,buy,35.35,hold
2022-09-20,MRKV,Electric Power,buy,0.03,3000294.0,90008.83,21332155.68,639964.67,360035.33,1000000.0,13.17,buy,24.95,buy,35.0,hold
2022-09-21,KRSB,Electric Power,buy,7.39,11169.0,82540.43,88134.18,651311.58,330161.72,981473.3,11.48,buy,20.78,buy,31.11,hold
2022-09-21,MRKV,Electric Power,buy,0.03,2400236.0,72007.07,23732391.21,711971.74,288028.26,1000000.0,8.57,buy,18.63,buy,28.6,buy
2022-09-22,KRSB,Electric Power,buy,7.25,9108.0,66032.34,97242.09,705005.14,264129.37,969134.51,8.94,buy,17.81,buy,28.25,buy
2022-09-22,MRKV,Electric Power,buy,0.03,1920188.0,57605.65,25652579.63,769577.39,230422.61,1000000.0,28.75,buy,30.65,hold,35.97,hold
2022-09-23,KRSB,Electric Power,buy,7.21,7327.0,52825.87,104568.84,753941.33,211303.5,965244.83,8.21,buy,16.99,buy,27.47,buy
