date,symbol,sector,action,price,shares,notional,realized_pnl,cumulative_realized_pnl,avg_cost_per_share,position_shares_after,position_value_after,cash_after,equity_after
2022-08-12,KRSB,Electric Power,init,7.66,65274,500000.0,0.0,0.0,0.0,65274,500000.0,500000.0,1000000.0
2022-08-22,KRSB,Electric Power,sell,8.08,653,5274.15,0.0,0.0,0.0,64621,522140.99,505274.15,1027415.14
2022-08-23,KRSB,Electric Power,sell,8.36,646,5402.35,0.0,0.0,0.0,63975,534832.64,510676.5,1045509.14
2022-09-09,KRSB,Electric Power,sell,8.13,640,5201.18,0.0,0.0,0.0,63335,514917.16,515877.68,1030794.84
2022-09-20,KRSB,Electric Power,buy,7.57,13630,103175.54,0.0,0.0,7.57,76965,582624.85,412702.15,995326.99
2022-09-21,KRSB,Electric Power,buy,7.39,11169,82540.43,0.0,0.0,7.49,88134,651311.58,330161.72,981473.3
2022-09-22,KRSB,Electric Power,buy,7.25,9108,66032.34,0.0,0.0,7.43,97242,705005.14,264129.37,969134.51
2022-09-23,KRSB,Electric Power,buy,7.21,7327,52825.87,0.0,0.0,7.39,104569,753941.33,211303.5,965244.83
2022-09-26,KRSB,Electric Power,buy,7.01,6029,42260.7,0.0,0.0,7.34,110597,775288.26,169042.8,944331.06
2022-09-27,KRSB,Electric Power,buy,7.04,4802,33808.56,0.0,0.0,7.31,115400,812414.75,135234.24,947648.99
2022-09-29,KRSB,Electric Power,buy,7.01,3858,27046.85,0.0,0.0,7.29,119258,835999.6,108187.39,944186.99
2022-09-30,KRSB,Electric Power,buy,7.0,3091,21637.48,0.0,0.0,7.28,122349,856444.5,86549.91,942994.41
2022-10-10,KRSB,Electric Power,sell,7.36,1223,9004.9,102.11,102.11,7.28,121126,891485.31,95554.82,987040.13
2022-10-14,KRSB,Electric Power,sell,7.34,1211,8890.63,76.89,179.0,7.28,119914,880172.17,104445.44,984617.61
2022-10-17,KRSB,Electric Power,sell,7.4,1199,8873.67,148.06,327.05,7.28,118715,878493.37,113319.11,991812.48
2022-10-19,KRSB,Electric Power,sell,7.51,1187,8915.52,277.13,604.19,7.28,117528,882636.53,122234.63,1004871.17
2022-10-21,KRSB,Electric Power,sell,7.54,1175,8861.62,309.58,913.77,7.28,116353,877300.75,131096.26,1008397.01
2022-10-24,KRSB,Electric Power,sell,7.66,1164,8912.63,446.35,1360.11,7.28,115189,882350.47,140008.89,1022359.36
2022-10-25,KRSB,Electric Power,sell,7.83,1152,9019.33,637.57,1997.68,7.28,114037,892913.33,149028.22,1041941.55
2022-10-26,KRSB,Electric Power,sell,7.85,1140,8951.94,653.72,2651.4,7.28,112897,886242.14,157980.16,1044222.3
2022-10-27,KRSB,Electric Power,sell,7.89,1129,8907.58,692.57,3343.97,7.28,111768,881850.44,166887.74,1048738.18
2022-10-28,KRSB,Electric Power,sell,8.0,1118,8941.45,808.79,4152.76,7.28,110650,885203.49,175829.19,1061032.67
2022-10-31,KRSB,Electric Power,sell,8.14,1107,9006.95,955.8,5108.56,7.28,109544,891687.6,184836.13,1076523.74
2022-11-01,KRSB,Electric Power,sell,8.24,1095,9026.42,1054.92,6163.48,7.28,108448,893615.58,193862.55,1087478.13
2022-11-02,KRSB,Electric Power,sell,8.27,1084,8968.69,1076.84,7240.33,7.28,107364,887900.34,202831.24,1090731.58
2022-11-03,KRSB,Electric Power,sell,8.3,1074,8911.21,1099.13,8339.45,7.28,106290,882210.05,211742.45,1093952.5
