symbol,date,rsi_6,rsi_6_signal,rsi_12,rsi_12_signal,rsi_24,rsi_24_signal,macd,macd_signal_line,macd_histogram,macd_signal,calculated_at
BTC-USD,2014-09-17,,,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-18,,,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-19,,,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-20,,,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-21,,,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-22,,,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-23,68.44,hold,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-24,52.93,hold,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-25,40.93,hold,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-26,34.25,hold,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-27,29.61,buy,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-28,15.88,buy,,,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-29,15.13,buy,23.64,buy,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-09-30,41.25,hold,36.06,hold,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-01,36.67,hold,34.15,hold,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-02,26.21,buy,29.44,buy,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-03,15.17,buy,22.7,buy,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-04,7.02,buy,14.81,buy,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-05,5.83,buy,13.31,buy,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-06,26.01,buy,23.72,buy,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-07,37.91,hold,30.05,hold,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-08,61.61,hold,44.88,hold,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-09,72.29,sell,53.32,hold,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-10,65.03,hold,50.69,hold,,,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-11,66.05,hold,51.29,hold,42.27,hold,,,,,2025-08-15 01:18:52
BTC-USD,2014-10-12,82.1,sell,63.08,hold,49.79,hold,-17.9,,,,2025-08-15 01:18:52
BTC-USD,2014-10-13,87.93,sell,69.45,hold,54.49,hold,-14.45,,,,2025-08-15 01:18:52
BTC-USD,2014-10-14,91.39,sell,74.11,sell,58.23,hold,-10.74,,,,2025-08-15 01:18:52
BTC-USD,2014-10-15,74.06,sell,67.06,hold,55.34,hold,-8.2,,,,2025-08-15 01:18:52
BTC-USD,2014-10-16,48.34,hold,54.74,hold,49.95,hold,-7.09,,,,2025-08-15 01:18:52
BTC-USD,2014-10-17,50.7,hold,55.69,hold,50.47,hold,-6.04,,,,2025-08-15 01:18:52
BTC-USD,2014-10-18,65.0,hold,61.73,hold,53.78,hold,-4.54,,,,2025-08-15 01:18:52
BTC-USD,2014-10-19,59.08,hold,59.37,hold,52.83,hold,-3.46,,,,2025-08-15 01:18:52
BTC-USD,2014-10-20,40.73,hold,51.19,hold,49.48,hold,-3.11,-8.35,5.24,hold,2025-08-15 01:18:52
BTC-USD,2014-10-21,52.03,hold,55.15,hold,51.3,hold,-2.51,-7.18,4.67,hold,2025-08-15 01:18:52
BTC-USD,2014-10-22,41.83,hold,50.71,hold,49.53,hold,-2.28,-6.2,3.92,hold,2025-08-15 01:18:52
