symbol,date,obv,obv_signal,mfi,mfi_signal,cmf,cmf_signal,ad,ad_signal
SBER,2022-08-12,0.0,,,,,,24935499.495798133,
SBER,2022-08-15,25355480.0,buy,,,,,35622519.991665855,buy
SBER,2022-08-16,52646400.0,buy,,hold,,hold,51903369.26205214,buy
SBER,2022-08-17,19757450.0,sell,,hold,,hold,19014419.26205214,sell
SBER,2022-08-18,45172860.0,buy,,hold,,hold,40489455.61864123,buy
SBER,2022-08-19,26495870.0,sell,,hold,,hold,32745337.813763265,sell
SBER,2022-08-22,51005980.0,buy,,hold,,hold,41736483.693160325,buy
SBER,2022-08-23,116425110.0,buy,,hold,,hold,103943067.13065994,buy
SBER,2022-08-24,70591420.0,sell,,hold,,hold,65365370.27050192,sell
SBER,2022-08-25,106659140.0,buy,,hold,,hold,58045353.29633243,sell
SBER,2022-08-26,139539010.0,buy,,hold,,hold,88641898.990777,buy
SBER,2022-08-29,180450500.0,buy,,hold,,hold,119543130.79928683,buy
SBER,2022-08-30,129366010.0,sell,,hold,,hold,82312061.81623623,sell
SBER,2022-08-31,236816520.0,buy,83.93,hold,,hold,61261815.70512508,sell
SBER,2022-09-01,291758990.0,buy,85.5,hold,,hold,115849818.1567378,buy
SBER,2022-09-02,428650800.0,buy,88.04,hold,,hold,218045547.28116196,buy
SBER,2022-09-05,341047750.0,sell,89.09,hold,,hold,185724555.5449347,sell
SBER,2022-09-06,254373230.0,sell,82.74,hold,,hold,158610987.75006267,sell
SBER,2022-09-07,193619500.0,sell,76.25,sell,,hold,144467262.24741772,sell
SBER,2022-09-08,135875080.0,sell,72.78,hold,0.1,hold,104046168.24741739,sell
SBER,2022-09-09,184990360.0,buy,73.58,hold,0.11,hold,145747821.07760626,buy
SBER,2022-09-12,237600980.0,buy,73.33,hold,0.1,hold,149137300.79749367,buy
SBER,2022-09-13,193018280.0,sell,68.39,hold,0.07,hold,128092051.10805252,sell
SBER,2022-09-14,255856800.0,buy,73.04,hold,0.14,hold,178946696.8782241,buy
SBER,2022-09-15,312100610.0,buy,73.78,hold,0.14,hold,201486351.07298002,buy
SBER,2022-09-16,240301330.0,sell,67.31,hold,0.1,hold,158782204.14487493,sell
SBER,2022-09-19,273573520.0,buy,63.34,hold,0.09,hold,157623471.15979996,sell
SBER,2022-09-20,64625740.0,sell,47.99,hold,-0.06,sell,18980782.233246118,sell
SBER,2022-09-21,-71999690.0,sell,40.45,hold,0.01,buy,85946747.58334813,buy
SBER,2022-09-22,45480270.0,buy,38.51,hold,0.03,hold,110845485.37439293,buy
SBER,2022-09-23,-40425800.0,sell,30.62,hold,-0.01,sell,73959942.03173569,sell
SBER,2022-09-26,-189063970.0,sell,29.73,hold,-0.09,hold,-27535097.83739434,sell
SBER,2022-09-27,-98082910.0,buy,35.98,hold,-0.03,hold,37565719.28870543,buy
SBER,2022-09-28,-176052570.0,sell,41.42,hold,-0.03,hold,9178083.605015263,sell
SBER,2022-09-29,-243540330.0,sell,36.89,hold,-0.05,hold,23213148.73775839,buy
SBER,2022-09-30,-377109370.0,sell,30.75,hold,-0.08,hold,71565141.21775806,buy
SBER,2022-10-03,-303148410.0,buy,35.4,hold,-0.03,hold,137671839.97881973,buy
SBER,2022-10-04,-386713090.0,sell,30.01,hold,-0.06,hold,62142225.363435104,sell
SBER,2022-10-05,-477130010.0,sell,24.97,hold,-0.04,hold,68113154.04268073,buy
SBER,2022-10-06,-528871490.0,sell,29.09,hold,-0.04,hold,41045547.0675918,sell
SBER,2022-10-07,-619860980.0,sell,28.25,hold,-0.11,hold,-44874890.56472011,sell
SBER,2022-10-10,-502395630.0,buy,30.97,hold,-0.04,hold,71217933.43722726,buy
SBER,2022-10-11,-425433550.0,buy,38.32,hold,-0.0,hold,126081990.46693026,buy
SBER,2022-10-12,-488811950.0,sell,29.89,hold,-0.05,hold,88054950.46693048,sell
SBER,2022-10-13,-441962140.0,buy,31.11,hold,-0.05,hold,104920882.06693059,buy
SBER,2022-10-14,-389396740.0,buy,38.53,hold,-0.02,hold,115133588.35264498,buy
SBER,2022-10-17,-310900190.0,buy,37.8,hold,0.01,buy,183798867.9025469,buy
SBER,2022-10-18,-412755000.0,sell,39.16,hold,0.05,hold,102891062.52979583,sell
SBER,2022-10-19,-322061990.0,buy,38.32,hold,0.05,hold,166601028.23227492,buy
SBER,2022-10-20,-221338390.0,buy,48.76,hold,0.09,hold,258148979.37099132,buy
SBER,2022-10-21,-118956340.0,buy,50.28,hold,0.15,hold,342517670.4840974,buy
SBER,2022-10-24,-193495650.0,sell,57.57,hold,0.2,hold,310519405.8935264,sell
SBER,2022-10-25,-79338900.0,buy,66.5,hold,0.21,hold,396881468.93700457,buy
SBER,2022-10-26,29156460.0,buy,68.42,hold,0.22,hold,394157736.0499758,sell
SBER,2022-10-27,117071600.0,buy,75.58,hold,0.24,hold,441107182.5421223,buy
SBER,2022-10-28,190731600.0,buy,83.97,hold,0.25,hold,499201295.74966943,buy
SBER,2022-10-31,129968730.0,sell,83.91,hold,0.21,hold,488343980.42051595,sell
SBER,2022-11-01,166789610.0,buy,88.71,hold,0.26,hold,488543012.20429957,buy
SBER,2022-11-02,126572990.0,sell,88.66,hold,0.26,hold,483402541.9787356,sell
SBER,2022-11-03,174293120.0,buy,84.23,hold,0.3,hold,515869662.38969475,buy
SBER,2022-11-07,266002750.0,buy,84.6,hold,0.42,hold,607579292.3896947,buy
SBER,2022-11-08,196446710.0,sell,84.35,hold,0.34,hold,593021051.4594617,sell
SBER,2022-11-09,131485200.0,sell,85.47,hold,0.28,hold,550699592.4693626,sell
SBER,2022-11-10,303233510.0,buy,86.62,hold,0.39,hold,721951520.0705192,buy
SBER,2022-11-11,378943750.0,buy,86.46,hold,0.38,hold,731386534.7817653,buy
SBER,2022-11-14,461464780.0,buy,86.7,hold,0.4,hold,783406978.744805,buy
SBER,2022-11-15,315921530.0,sell,74.14,sell,0.34,hold,775656154.7803077,sell
SBER,2022-11-16,383011700.0,buy,73.4,hold,0.42,hold,821104334.4577277,buy
SBER,2022-11-17,323851460.0,sell,67.2,hold,0.37,hold,792549658.6177276,sell
SBER,2022-11-18,279774920.0,sell,62.16,hold,0.33,hold,795458262.7801634,buy
SBER,2022-11-21,196174990.0,sell,55.31,hold,0.28,hold,797884645.9727758,buy
SBER,2022-11-22,241997980.0,buy,55.78,hold,0.33,hold,829061018.1645569,buy
SBER,2022-11-23,294300000.0,buy,59.81,hold,0.3,hold,848438487.8694748,buy
SBER,2022-11-24,336688720.0,buy,63.8,hold,0.3,hold,824189918.7865057,sell
SBER,2022-11-25,307069890.0,sell,58.87,hold,0.28,hold,830825831.518746,buy
SBER,2022-11-28,261794780.0,sell,53.5,hold,0.26,hold,847211109.4235084,buy
SBER,2022-11-29,293442870.0,buy,58.36,hold,0.26,hold,839059328.6659333,sell
SBER,2022-11-30,320259060.0,buy,48.02,hold,0.29,hold,865875518.6659333,buy
SBER,2022-12-01,353315560.0,buy,45.21,hold,0.29,hold,866681774.7634946,buy
SBER,2022-12-02,334053890.0,sell,37.67,hold,0.27,hold,867717348.4194088,buy
SBER,2022-12-05,437984390.0,buy,55.31,hold,0.26,hold,949665658.6837943,buy
SBER,2022-12-06,386161090.0,sell,54.35,hold,0.27,hold,934337640.3739352,sell
SBER,2022-12-07,456046760.0,buy,63.92,hold,0.34,hold,988832758.328991,buy
SBER,2022-12-08,391990250.0,sell,61.93,hold,0.18,hold,928821922.6447797,sell
SBER,2022-12-09,421431740.0,buy,66.86,hold,0.18,hold,931241771.1379305,buy
SBER,2022-12-12,387954270.0,sell,60.96,hold,0.13,hold,921831053.7646585,sell
SBER,2022-12-13,335753760.0,sell,52.8,hold,0.14,hold,916386828.7953333,sell
SBER,2022-12-14,301678870.0,sell,46.79,hold,0.09,hold,910707680.4620005,sell
SBER,2022-12-15,246887220.0,sell,45.04,hold,0.08,hold,865770643.771353,sell
SBER,2022-12-16,279689340.0,buy,45.9,hold,0.09,hold,877150971.1182914,buy
SBER,2022-12-19,220863210.0,sell,39.41,hold,0.08,hold,872438800.4981358,sell
SBER,2022-12-20,265880330.0,buy,44.88,hold,0.09,hold,914748123.8064064,buy
SBER,2022-12-21,220337990.0,sell,45.87,hold,0.08,hold,922590762.4166782,buy
SBER,2022-12-22,189775850.0,sell,49.43,hold,0.1,hold,913437634.1933279,sell
SBER,2022-12-23,212683960.0,buy,39.11,hold,0.11,hold,926234578.4002246,buy
SBER,2022-12-26,262063330.0,buy,38.83,hold,0.14,hold,973967969.4002242,buy
SBER,2022-12-27,220408800.0,sell,35.84,hold,0.12,hold,942727071.9002246,sell
SBER,2022-12-28,192363790.0,sell,38.22,hold,0.09,hold,943038683.1224465,buy
SBER,2022-12-29,224423650.0,buy,43.86,hold,0.1,hold,956891709.0483726,buy
SBER,2022-12-30,252598730.0,buy,49.45,hold,0.11,hold,971292305.4928176,buy
SBER,2023-01-03,273697280.0,buy,56.47,hold,0.01,hold,955686869.102285,sell
SBER,2023-01-04,256584540.0,sell,58.29,hold,0.02,hold,953785453.5467296,sell
SBER,2023-01-05,239339240.0,sell,62.74,hold,-0.04,sell,955907952.0082684,buy
SBER,2023-01-06,249996840.0,buy,68.11,hold,0.05,buy,960052574.2304906,buy
SBER,2023-01-09,281446000.0,buy,79.72,hold,0.05,hold,963807697.81258,buy
SBER,2023-01-10,305164180.0,buy,72.68,hold,0.1,hold,986293764.565827,buy
SBER,2023-01-11,428311220.0,buy,77.47,hold,0.26,hold,1108747994.2142103,buy
SBER,2023-01-12,381521920.0,sell,78.36,hold,0.25,hold,1097440580.0475445,sell
SBER,2023-01-13,470042130.0,buy,84.99,hold,0.34,hold,1135423219.526898,buy
SBER,2023-01-16,521796050.0,buy,85.17,hold,0.36,hold,1173018048.2061436,buy
SBER,2023-01-17,437391280.0,sell,71.93,sell,0.28,hold,1105886812.531725,sell
SBER,2023-01-18,504903250.0,buy,67.17,hold,0.23,hold,1115853760.748995,buy
SBER,2023-01-19,438089290.0,sell,59.0,hold,0.17,hold,1073335786.2035406,sell
SBER,2023-01-20,482344110.0,buy,60.07,hold,0.23,hold,1116949232.0006416,buy
SBER,2023-01-23,537542980.0,buy,62.06,hold,0.24,hold,1150711647.6317098,buy
SBER,2023-01-24,458808850.0,sell,67.2,hold,0.12,hold,1090110226.3589823,sell
SBER,2023-01-25,502185550.0,buy,64.91,hold,0.16,hold,1100851123.5018396,buy
SBER,2023-01-26,456672230.0,sell,66.4,hold,0.14,hold,1079068483.968766,sell
SBER,2023-01-27,490795920.0,buy,62.55,hold,0.15,hold,1102516606.1475368,buy
SBER,2023-01-30,521901140.0,buy,65.54,hold,0.15,hold,1114995945.9080157,buy
SBER,2023-01-31,599791460.0,buy,63.88,hold,0.22,hold,1189374817.0555563,buy
SBER,2023-02-01,666123660.0,buy,64.87,hold,0.23,hold,1199645609.3136206,buy
SBER,2023-02-02,719990040.0,buy,63.5,hold,0.24,hold,1222520373.4232094,buy
SBER,2023-02-03,783725370.0,buy,64.17,hold,0.25,hold,1255823518.8286147,buy
SBER,2023-02-06,872808900.0,buy,74.77,hold,0.31,hold,1342593190.9065373,buy
SBER,2023-02-07,780147330.0,sell,83.47,hold,0.26,hold,1319515214.9820085,sell
SBER,2023-02-08,721478300.0,sell,83.72,hold,0.16,hold,1307459934.8450227,sell
SBER,2023-02-09,828617520.0,buy,84.97,hold,0.19,hold,1339947311.2321193,buy
SBER,2023-02-10,869542200.0,buy,84.79,hold,0.16,hold,1340975569.5235767,buy
SBER,2023-02-13,833330000.0,sell,79.68,sell,0.11,hold,1308772100.1508832,sell
